Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
33.81,840.484,60.1,0.140717512,591.354085,2.023,1.72,312.2666282,10000000,5.4,900558,64452000
34.56,950.484,64.3,0.137890437,655.3132698,2.271,1.93,447.78596,10000000,5.4,900558,71824000
34.95,955.871,64.8,0.137520472,657.2591551,2.477,2.11,500,10000000,5.4,900558,67088000
34.98,880.935,62.5,0.139072348,612.5684928,2.603,2.21,500,10000000,5.4,900558,63528000
34.68,739.097,57.8,0.14226123,525.7242403,2.6,2.21,500,10000000,5.4,900558,59368000
34.05,560.29,51.6,0.146454652,410.2853856,2.481,2.11,500,10000000,5.4,900558,66856000
32.93,365.806,44.4,0.15130426,276.7400299,2.31,1.96,471.7984716,10000000,5.4,900558,64520000
30.65,155.935,35.5,0.157256021,122.6085881,1.948,1.66,277.6775513,10000000,5.4,900558,66448000
28.06,32.8387,29.1,0.161593537,26.53260839,1.348,1.15,82.76054438,10000000,5.4,900558,63188000
26.58,0,26.6,0.163287093,0,1.106,0.94,39.51834267,10000000,5.4,900558,65384000
25.69,0,25.7,0.163882695,0,1.223,1.04,58.15655344,10000000,5.4,900558,58268000
24.86,0,24.9,0.164445617,0,1.248,1.06,62.81550939,10000000,5.4,900558,60892000
24.04,0,24,0.164997758,0,1.252,1.06,63.41046695,10000000,5.4,900558,63904000
23.27,0,23.3,0.165515061,0,1.252,1.06,63.41046695,10000000,5.4,900558,69328000
27.7,0,27.7,0.162528422,0,1.303,1.11,73.37264657,10000000,5.4,900558,64320000
27.06,0,27.1,0.1629619,0,1.34,1.14,80.96788502,10000000,5.5,917235,59044000
26.56,0,26.6,0.163296594,0,1.363,1.16,86.00838373,10000000,5.5,917235,61924000
26.21,0,26.2,0.163536883,0,1.35,1.15,83.10710979,10000000,5.5,917235,66812000
26.05,0,26.1,0.163642473,0,1.317,1.12,76.09988035,10000000,5.5,917235,67580000
27.84,31.4,28.8,0.161777332,25.39904107,1.297,1.1,72.06175157,10000000,5.5,917235,70224000
30.94,168.233,36.2,0.156807104,131.9006473,1.497,1.27,118.2752605,10000000,5.5,917235,69084000
34.08,373.233,45.7,0.150370059,280.6153411,1.833,1.56,229.015887,10000000,5.5,917235,68556000
36.37,537.667,53.2,0.145366657,390.7942724,1.967,1.67,285.9609021,10000000,5.5,917235,68048000
37.79,725,60.4,0.1404673,509.1939617,2.087,1.77,344.2629806,10000000,5.5,917235,65032000
